a b c d e f g h j k l m n o p k q u v w t s x z i
1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 1 0 1 1
1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0
1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1
1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1
1 0 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1
1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 1
1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1
1 0 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0
1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 1
1 0 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1
1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1
1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1
1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0
1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0
1 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1
1 0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 1 1
1 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1
1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1
1 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1 1 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1
1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1
1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1
1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1
1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 1
1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 0 1
1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 1 1 1 0
1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0
1 1 0 0 0 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0
1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1
1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1
1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1
1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1
1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1
1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 0 1 1 1 1
1 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 0 0
1 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0
1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 1 0
1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1
1 0 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 0
1 0 0 1 1 0 1 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1
1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1
1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1
1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0
1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 0 1 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 1
1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1
1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1
1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0
1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1
1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 1 1
1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 1
1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1
1 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0
1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1
1 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 0 1
1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0
1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 1
1 0 0 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1
1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 1 1 0 1
1 0 0 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1
1 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1
1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 1
1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0
1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1
1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1
1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0 0
1 0 1 1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0
1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0
1 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 1 1
1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1
1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1
1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 1 1
1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 1
1 0 0 1 0 0 1 1 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0
1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1
1 0 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 1 0 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1
1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 1
1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 1 1 1 1
1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1
1 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 1
1 0 1 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0 0 1
1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0
1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0
1 0 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1
1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0
1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1
1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0
1 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1
1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0
1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 1
1 0 0 1 1 0 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 0 1
1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1
1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1
1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0
1 0 1 1 1 1 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0
1 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 1 0
1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 1 1
1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 1 0
1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 0 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0
1 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1
1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1
1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1
1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1
1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1
1 0 0 1 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1
1 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0
1 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 1 1
1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1
1 0 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1
1 0 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 0 0 1 0
1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 1 1
1 0 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0
1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1
1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1
1 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1
1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 1
1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1
1 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 1 0 1 0 0 1 0 1
1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1
1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 1 0 1 1
1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1
1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0
1 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0
1 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1
1 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 0 1 0 1 0
1 0 0 1 1 1 0 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0 1 1 1
1 0 1 0 1 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1
1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0
1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 1 1
1 0 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0
1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 1 1
1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1
1 0 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0 1
1 0 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 1
1 0 0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1
1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 0 0 1
1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 0 0 1 1 1
1 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1
1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 1 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1 0 1
1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 1 1
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0
1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1
1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1
1 0 1 1 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 1 1 0
1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0
1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0
1 0 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1
1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1
1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0
1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 0 1 0 1 0
1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1
1 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1
1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1
1 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1
1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1
1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1
